ItemName	Type
Item_LingStoneLeftover	材料
Item_LingCrystalLeftover	材料
Item_IronRockLeftover	材料
Item_CopperRockLeftover	材料
Item_SilverRockLeftover	材料
Item_DarksteelRockLeftover	材料
Item_StarEssenceLeftover	材料
Item_SilverGrit	材料
Item_CopperGrit	材料
Item_CottonCloth	布革
Item_PurpleCloth	布革
Item_YellowCloth	布革
Item_BlueCloth	布革
Item_RedCloth	布革
Item_WhiteCloth	布革
Item_BlackCloth	布革
Item_RabbitLeather	布革
Item_BearLeather	布革
Item_WolfLeather	布革
Item_BoarLeather	布革
Item_CattleLeather	布革
Item_TigerLeather	布革
Item_DeepBlueCloth	布革
Item_Cotton	原料
Item_Cinnabar	原料
Item_IronRock	原料
Item_CopperRock	原料
Item_SilverRock	原料
Item_BrownRock	原料
Item_GrayRock	原料
Item_Marble	原料
Item_Wood	原料
Item_HardWood	原料
Item_LingWood	原料
Item_Shit	原料
Item_Nvxiuluohong	合欢
Item_Dadiaojiao	合欢
Item_yangjin1	合欢
Item_yangjin2	合欢
Item_yangjin3	合欢
Item_yangjin4	合欢
Item_yangjin5	合欢
Item_yangjin6	合欢
Item_yinjin1	合欢
Item_yinjin2	合欢
Item_yinjin3	合欢
Item_yinjin4	合欢
Item_yinjin5	合欢
Item_yinjin6	合欢
Item_HumanMeat	食物
Item_DogMeat	食物
Item_BasePracticeDrug	丹药
Item_Dan_JingYuan	丹药
Item_Dan_JingYuan2	丹药
Item_Dan_JingYuan3	丹药
Item_Dan_Ling	丹药
Item_Dan_Ling2	丹药
Item_Dan_PracticeRate	丹药
Item_Dan_PracticeSpeed	丹药
Item_Dan_CalmDown	丹药
Item_Dan_Happiness	丹药
Item_Dan_NoHunger	丹药
Item_Dan_NoHunger2	丹药
Item_Dan_NoHunger1	丹药
Item_Dan_LostSoul	丹药
Item_Dan_DredgeQi1	丹药
Item_Dan_DredgeQi	丹药
Item_Dan_WuLingSan	丹药
Item_Dan_CureJinDamage	丹药
Item_Dan_CureMuDamage	丹药
Item_Dan_CureShuiDamage	丹药
Item_Dan_CureHuoDamage	丹药
Item_Dan_CureTuDamage	丹药
Item_Dan_CureFiveElementDamage	丹药
Item_Dan_Restore	丹药
Item_Dan_ExtremeLofty	丹药
Item_Dan_HundredRefine	丹药
Item_Dan_IncreaseLife1	丹药
Item_Dan_IncreaseLife2	丹药
Item_Dan_IncreaseLife3	丹药
Item_Dan_IncreaseLife4	丹药
Item_Dan_IncreaseLife5	丹药
Item_Dan_IncreaseNeckCountdown1	丹药
Item_Dan_IncreaseNeckCountdown2	丹药
Item_Dan_SwordBall	丹药
Item_Dan_Defense	丹药
Item_Dan_Ling3	丹药
Item_Dan_FiveBase1	丹药
Item_Dan_FiveBase2	丹药
Item_Dan_FiveBase3	丹药
Item_Dan_FiveBase4	丹药
Item_Dan_FiveBase5	丹药
Item_Dan_FiveBaseFromLife	丹药
Item_Dan_TreeEXP	丹药
Item_Dan_Thin	丹药
Item_Dan_Fat	丹药
Item_Dan_FaceLock	丹药
Item_Dan_FaceUnLock	丹药
Item_Dan_Soul1	丹药
Item_Dan_Soul2	丹药
Item_Dan_Soul3	丹药
Item_Dan_Soul4	丹药
Item_Dan_LunHui1	丹药
Item_Dan_ReBorn	丹药
Item_Dan_ReBorn_4	丹药
Item_Dan_LingYuanZhong	丹药
Item_Dan_LingYuanSha	丹药
Item_Dan_LongDan1	丹药
Item_Dan_FengDan1	丹药
Item_Dan_ZhuLongDan1	丹药
Item_Dan_FenShen1	丹药
Item_Dan_FenShen2	丹药
Item_Dan_FenShen3	丹药
Item_Dan_TiShen	丹药
Item_ThunderAir	宝物
Item_XianBone	宝物
Item_XianBoneBall	宝物
Item_ZaoHuaYuZi	宝物
Item_BenYuan_None	宝物
Item_YuanHunLu	宝物
Item_XieHunLu	宝物
Item_YanDaoGuo	宝物
Item_QieDaoGuo	宝物
Item_XianDaoShenNian	宝物
Item_XianDaoXieNian	宝物
Item_WinterWarm	宝物
Item_SummerHerb	宝物
Item_God_ZhiNianJieJing	宝物
Item_BenYuan_Jin	宝物
Item_BenYuan_Mu	宝物
Item_BenYuan_Shui	宝物
Item_BenYuan_Huo	宝物
Item_BenYuan_Tu	宝物
Item_JinEssence	宝物
Item_MuEssence	宝物
Item_ShuiEssence	宝物
Item_HuoEssence	宝物
Item_TuEssence	宝物
Item_SilverBlock1	材料
Item_CopperBlock1	材料
Item_StarEssenceBlock	材料
Item_DarksteelBlock	材料
Item_Fruit	丹药
Item_LingWater	丹药
Item_ZaoHuaYuLu	丹药
Item_LingMuXueJie	丹药
Item_EarthEssence	丹药
Item_EarthEssence1	丹药
Item_EarthEssence_1	丹药
Item_EarthEssence1_1	丹药
Item_LifeStream	丹药
Item_RedGinseng	丹药
Item_PurpleGanodermaLucidum	丹药
Item_MonsterBlood	丹药
Item_SoulCrystalYou	材料
Item_SoulCrystalNing	材料
Item_SoulCrystalLing	材料
Item_SoulCrystalYuanLing	材料
Item_Yao_CatSoul	材料
Item_JadeEssence	材料
Item_StoneEssence	材料
Item_SkyStone	宝物
Item_ExtremeJade	宝物
Item_LingCrystal	货币
Item_LuShuLeather	布革
Item_YaoLeather	布革
Item_YaoLeather1	布革
Item_FeiLeather	布革
Item_StarEssence	材料
